# n, p, Original - Test, Original - Neutral, New - Test, New - Neutral
5000.000000,0.800000,0.812000,0.491000,0.800000,0.540000
5000.000000,0.850000,0.856000,0.500000,0.837000,0.561000
5000.000000,0.900000,0.907000,0.492000,0.900000,0.490000
5000.000000,0.950000,0.952000,0.523000,0.949000,0.519000
5000.000000,1.000000,1.000000,0.494000,0.996000,0.498000
10000.000000,0.800000,0.935000,0.856000,0.970000,0.952000
10000.000000,0.850000,0.947000,0.820000,0.970000,0.922000
10000.000000,0.900000,0.899000,0.520000,0.893000,0.570000
10000.000000,0.950000,0.948000,0.509000,0.947000,0.509000
10000.000000,1.000000,1.000000,0.478000,0.996000,0.478000
15000.000000,0.800000,0.988000,0.982000,0.986000,0.974000
15000.000000,0.850000,0.987000,0.966000,0.986000,0.963000
15000.000000,0.900000,0.967000,0.863000,0.979000,0.936000
15000.000000,0.950000,0.954000,0.506000,0.962000,0.678000
15000.000000,1.000000,1.000000,0.470000,0.997000,0.471000
20000.000000,0.800000,0.990000,0.985000,0.989000,0.978000
20000.000000,0.850000,0.989000,0.971000,0.990000,0.975000
20000.000000,0.900000,0.990000,0.962000,0.989000,0.967000
20000.000000,0.950000,0.974000,0.736000,0.986000,0.898000
20000.000000,1.000000,1.000000,0.531000,0.997000,0.531000
