# n, p, Original - Test, Original - Neutral, New - Test, New - Neutral
5000.000000,0.800000,0.843000,0.585000,0.786000,0.595000
5000.000000,0.850000,0.878000,0.520000,0.856000,0.535000
5000.000000,0.900000,0.912000,0.480000,0.907000,0.460000
5000.000000,0.950000,0.949000,0.575000,0.938000,0.590000
5000.000000,1.000000,1.000000,0.590000,0.995000,0.600000
10000.000000,0.800000,0.947000,0.900000,0.958000,0.955000
10000.000000,0.850000,0.899000,0.740000,0.947000,0.870000
10000.000000,0.900000,0.906000,0.550000,0.972000,0.940000
10000.000000,0.950000,0.950000,0.610000,0.980000,0.910000
10000.000000,1.000000,1.000000,0.470000,0.993000,0.480000
15000.000000,0.800000,0.984000,0.970000,0.983000,0.960000
15000.000000,0.850000,0.984000,0.940000,0.985000,0.955000
15000.000000,0.900000,0.915000,0.645000,0.976000,0.980000
15000.000000,0.950000,0.952000,0.580000,0.975000,0.900000
15000.000000,1.000000,1.000000,0.485000,0.999000,0.625000
20000.000000,0.800000,0.989000,0.970000,0.987000,0.970000
20000.000000,0.850000,0.984000,0.980000,0.984000,0.985000
20000.000000,0.900000,0.981000,0.935000,0.986000,0.980000
20000.000000,0.950000,0.951000,0.465000,0.992000,0.965000
20000.000000,1.000000,1.000000,0.565000,0.996000,0.830000
