# mode, n, p, Original - Test, Original - Neutral, Mixup - Test, Mixup - Neutral
1.000000,5000.000000,0.800000,0.793000,0.498000,0.761000,0.567000
1.000000,5000.000000,0.850000,0.849000,0.494000,0.809000,0.561000
1.000000,5000.000000,0.900000,0.896000,0.538000,0.883000,0.543000
1.000000,5000.000000,0.950000,0.942000,0.479000,0.930000,0.488000
1.000000,5000.000000,1.000000,1.000000,0.514000,1.000000,0.514000
1.000000,10000.000000,0.800000,0.968000,0.944000,0.962000,0.944000
1.000000,10000.000000,0.850000,0.870000,0.580000,0.964000,0.939000
1.000000,10000.000000,0.900000,0.901000,0.520000,0.968000,0.910000
1.000000,10000.000000,0.950000,0.951000,0.501000,0.961000,0.752000
1.000000,10000.000000,1.000000,1.000000,0.501000,0.999000,0.576000
1.000000,15000.000000,0.800000,0.987000,0.971000,0.984000,0.977000
1.000000,15000.000000,0.850000,0.984000,0.953000,0.984000,0.961000
1.000000,15000.000000,0.900000,0.943000,0.738000,0.980000,0.950000
1.000000,15000.000000,0.950000,0.950000,0.524000,0.990000,0.946000
1.000000,15000.000000,1.000000,1.000000,0.510000,0.998000,0.699000
1.000000,20000.000000,0.800000,0.991000,0.978000,0.988000,0.980000
1.000000,20000.000000,0.850000,0.988000,0.973000,0.990000,0.980000
1.000000,20000.000000,0.900000,0.988000,0.960000,0.990000,0.971000
1.000000,20000.000000,0.950000,0.972000,0.731000,0.992000,0.955000
1.000000,20000.000000,1.000000,1.000000,0.504000,0.997000,0.808000
2.000000,5000.000000,0.800000,0.787000,0.462000,0.775000,0.509000
2.000000,5000.000000,0.850000,0.847000,0.499000,0.826000,0.532000
2.000000,5000.000000,0.900000,0.904000,0.492000,0.891000,0.499000
2.000000,5000.000000,0.950000,0.945000,0.486000,0.935000,0.485000
2.000000,5000.000000,1.000000,1.000000,0.508000,0.998000,0.622000
2.000000,10000.000000,0.800000,0.803000,0.495000,0.955000,0.929000
2.000000,10000.000000,0.850000,0.848000,0.501000,0.940000,0.866000
2.000000,10000.000000,0.900000,0.898000,0.514000,0.953000,0.845000
2.000000,10000.000000,0.950000,0.952000,0.510000,0.968000,0.809000
2.000000,10000.000000,1.000000,1.000000,0.508000,0.999000,0.719000
2.000000,15000.000000,0.800000,0.799000,0.523000,0.976000,0.974000
2.000000,15000.000000,0.850000,0.848000,0.535000,0.979000,0.956000
2.000000,15000.000000,0.900000,0.897000,0.447000,0.977000,0.914000
2.000000,15000.000000,0.950000,0.946000,0.526000,0.983000,0.912000
2.000000,15000.000000,1.000000,1.000000,0.461000,0.999000,0.700000
2.000000,20000.000000,0.800000,0.828000,0.609000,0.983000,0.980000
2.000000,20000.000000,0.850000,0.871000,0.569000,0.984000,0.964000
2.000000,20000.000000,0.900000,0.898000,0.481000,0.987000,0.954000
2.000000,20000.000000,0.950000,0.951000,0.515000,0.990000,0.942000
2.000000,20000.000000,1.000000,1.000000,0.486000,0.999000,0.756000
3.000000,5000.000000,0.800000,0.796000,0.562000,0.780000,0.560000
3.000000,5000.000000,0.850000,0.853000,0.543000,0.846000,0.538000
3.000000,5000.000000,0.900000,0.902000,0.565000,0.893000,0.564000
3.000000,5000.000000,0.950000,0.950000,0.530000,0.947000,0.529000
3.000000,5000.000000,1.000000,1.000000,0.525000,0.997000,0.529000
3.000000,10000.000000,0.800000,0.864000,0.739000,0.927000,0.910000
3.000000,10000.000000,0.850000,0.894000,0.669000,0.931000,0.883000
3.000000,10000.000000,0.900000,0.907000,0.552000,0.935000,0.834000
3.000000,10000.000000,0.950000,0.951000,0.535000,0.930000,0.639000
3.000000,10000.000000,1.000000,0.999000,0.513000,0.979000,0.576000
3.000000,15000.000000,0.800000,0.978000,0.968000,0.972000,0.965000
3.000000,15000.000000,0.850000,0.959000,0.901000,0.961000,0.942000
3.000000,15000.000000,0.900000,0.945000,0.779000,0.967000,0.934000
3.000000,15000.000000,0.950000,0.953000,0.527000,0.977000,0.924000
3.000000,15000.000000,1.000000,1.000000,0.517000,0.992000,0.710000
3.000000,20000.000000,0.800000,0.990000,0.982000,0.987000,0.984000
3.000000,20000.000000,0.850000,0.985000,0.955000,0.984000,0.960000
3.000000,20000.000000,0.900000,0.980000,0.924000,0.981000,0.959000
3.000000,20000.000000,0.950000,0.952000,0.558000,0.984000,0.933000
3.000000,20000.000000,1.000000,1.000000,0.520000,0.995000,0.713000
